scan_page	printed_page	section	raw_chars	clean_chars	edge_dropped	single_char_junk	running_head	hyphens_joined	cjk_runs	cjk_overlay_runs	junk_blocks
1		frontmatter/half-title	30	24	0	3	0	0	0	0	0
2		frontmatter/half-title	36	25	0	2	1	0	0	1	0
3		frontmatter/title	139	107	0	6	1	0	0	0	0
4		frontmatter/copyright	410	402	1	3	0	0	0	1	0
5	v	frontmatter/dedication	214	195	0	3	1	0	0	1	0
6	vii	frontmatter/epigraph	263	251	0	6	0	0	0	1	0
7	ix	frontmatter/contents	1041	1027	4	1	0	0	0	0	0
8	ix	frontmatter/contents	1404	1419	1	1	1	0	0	1	1
9	x	frontmatter/contents	1561	1552	0	0	1	0	0	1	0
10	x	frontmatter/list-of-figures-tables	1691	1719	1	6	0	0	1	0	1
11	xi	frontmatter/list-of-figures-tables	2025	2018	1	2	0	0	0	1	0
12	xii	frontmatter/abbreviations	1507	1621	0	1	0	0	9	64	0
13	xiii	frontmatter/preface	2942	2936	0	1	0	2	0	0	0
14	xiv	frontmatter/preface	4011	4001	0	1	1	0	0	2	0
15	xv	frontmatter/preface	3562	3547	1	0	1	2	0	1	0
16	xvi	frontmatter/preface	2843	2835	2	1	0	1	0	8	0
17	xvii	frontmatter/preface	3301	3290	0	1	1	0	0	1	0
18	1	frontmatter/preamble	2827	2814	1	4	0	1	0	0	0
19	2	frontmatter/preamble	4074	4051	1	0	1	6	0	0	0
20	3	chapter/1	2589	2529	5	14	1	2	0	0	0
21	4	chapter/1	4374	4314	1	1	1	5	0	5	0
22	5	chapter/1	4237	4149	3	15	1	3	0	2	0
23	6	chapter/1	3001	2966	0	0	1	3	0	8	0
24	7	chapter/1	4925	4841	2	18	1	7	0	2	0
25	8	chapter/1	4224	4180	2	0	1	4	0	16	0
26	9	chapter/1	3979	3906	1	16	1	5	0	1	0
27	10	chapter/1	4803	4743	1	1	1	11	0	0	0
28	11	chapter/1	4557	4483	2	16	1	4	0	0	0
29	12	chapter/1	3584	3546	2	2	1	2	0	0	0
30	13	chapter/1	3927	3893	5	4	0	5	0	0	0
31	14	chapter/1	4228	4197	1	0	1	2	0	1	0
32	15	chapter/1	3811	3749	6	6	1	5	0	0	0
33	16	chapter/1	4469	4490	0	0	0	2	2	3	0
34	17	chapter/1	4432	4382	4	10	1	4	1	5	0
35	18	chapter/1	4018	4003	2	0	0	4	0	2	0
36	19	chapter/1	3118	3068	1	15	1	1	0	0	0
37	20	chapter/1	3768	3740	1	0	1	4	0	0	0
38	21	chapter/1	4142	4104	5	12	1	2	0	0	1
39	22	chapter/1	4691	4650	2	0	1	3	0	1	0
40	23	chapter/1	4420	4378	3	3	1	1	0	2	0
41	24	chapter/1	3558	3523	0	4	1	1	0	0	0
42	25	chapter/1	3613	3576	1	2	1	1	0	1	0
43	26	chapter/1	4419	4370	1	5	1	4	0	0	0
44	27	chapter/1	296	258	2	4	1	0	0	1	0
45	28	chapter/2	2406	2380	1	3	1	4	0	0	0
46	29	chapter/2	4646	4609	1	2	1	6	1	7	0
47	30	chapter/2	4249	4181	0	6	1	13	0	4	0
48	31	chapter/2	3451	3430	4	1	1	2	0	6	1
49	32	chapter/2	4700	4637	0	6	1	11	0	3	0
50	33	chapter/2	3421	3442	1	1	0	1	0	1	1
51	34	chapter/2	3170	3144	2	3	1	0	0	0	0
52	35	chapter/2	3588	3553	2	1	1	6	0	1	0
53	36	chapter/2	3799	3773	1	0	1	2	0	2	0
54	37	chapter/2	3608	3555	3	6	1	6	0	6	0
55	38	chapter/2	4739	4704	1	1	1	4	0	4	0
56	39	chapter/2	4427	4387	3	3	1	3	0	0	0
57	40	chapter/2	3339	3300	1	0	1	7	0	3	0
58	41	chapter/2	4582	4526	1	4	1	10	0	5	0
59	42	chapter/2	2686	2652	1	1	1	4	0	0	0
60	43	chapter/2	2548	2615	0	4	0	4	2	2	2
61	44	chapter/2	3343	3303	1	6	1	2	0	1	0
62	45	chapter/2	4051	4005	1	3	1	3	0	2	0
63	46	chapter/2	4280	4242	1	1	1	1	0	0	0
64	47	chapter/2	4009	3966	1	2	1	2	0	3	0
65	48	chapter/2	4600	4542	2	7	1	1	0	7	0
66	49	chapter/2	4510	4456	1	3	1	6	0	4	0
67	50	chapter/2	3847	3794	6	2	1	2	0	0	0
68	51	chapter/2	5267	5213	3	4	1	3	0	5	0
69	52	chapter/2	4136	4092	2	0	1	3	0	0	0
70	53	chapter/2	3587	3546	2	4	1	1	0	2	0
71	54	chapter/2	4072	4049	0	1	1	1	0	2	0
72	55	chapter/2	3706	3668	1	1	1	5	0	0	0
73	56	chapter/2	4261	4254	0	1	1	7	0	1	1
74	57	chapter/3	2256	2223	1	4	1	5	0	4	0
75	58	chapter/3	4585	4548	1	2	1	3	0	8	0
76	59	chapter/3	3915	3920	4	2	1	5	4	23	0
77	60	chapter/3	3463	3447	1	0	1	2	1	31	0
78	61	chapter/3	3595	3586	4	4	1	3	3	16	0
79	62	chapter/3	3776	3739	2	0	1	6	0	7	0
80	62	chapter/3	3549	3551	0	5	0	6	2	49	0
81	63	chapter/3	3265	3288	0	1	0	2	0	1	1
82	64	chapter/3	3690	3678	2	1	0	2	0	1	0
83	65	chapter/3	4694	4725	1	2	0	7	2	2	1
84	66	chapter/3	4397	4373	2	2	0	6	0	2	0
85	67	chapter/3	4176	4160	2	0	0	4	0	3	0
86	68	chapter/3	4020	4009	1	1	0	2	0	12	0
87	69	chapter/3	3773	3860	0	2	0	3	3	5	2
88	70	chapter/3	3241	3171	2	2	1	2	0	0	0
89	71	chapter/3	3686	3635	1	0	1	2	1	0	0
90	72	chapter/3	3809	3735	3	3	1	3	0	3	0
91	72	chapter/3	3413	3367	2	2	1	3	2	6	0
92	73	chapter/3	3931	3955	3	0	1	3	5	5	1
93	74	chapter/3	3032	3004	1	0	1	3	0	1	0
94	75	chapter/3	2771	3160	0	1	1	2	32	1	0
95	76	chapter/3	4310	4283	1	0	1	2	0	5	0
96	77	chapter/3	2670	2902	0	3	1	3	18	7	1
97	78	chapter/3	3665	3686	0	0	0	4	0	3	1
98	79	chapter/3	4580	4544	2	2	1	4	0	1	0
99	80	chapter/3	3176	3151	1	0	1	1	0	2	0
100	81	chapter/3	3398	3363	0	3	1	5	0	3	0
101	82	chapter/3	4303	4277	1	0	1	2	0	0	0
102	83	chapter/3	4065	4060	1	1	1	5	0	1	1
103	83	chapter/3	3237	3218	0	0	1	0	0	1	0
104	84	chapter/3	4108	4070	1	3	1	5	0	0	0
105	85	chapter/3	2764	2822	1	0	1	2	2	6	2
106	86	chapter/3	3260	3234	1	1	1	1	0	0	0
107	87	chapter/3	1164	1138	2	1	1	0	0	1	0
108	88	chapter/4	2378	2358	1	3	1	1	0	0	0
109	89	chapter/4	3359	3316	2	2	1	1	0	6	0
110	90	chapter/4	4114	4067	1	3	1	3	0	3	0
111	91	chapter/4	3272	3241	1	0	1	2	0	1	0
112	92	chapter/4	3669	3639	0	1	1	2	0	4	0
113	93	chapter/4	4227	4199	1	0	1	0	0	2	0
114	94	chapter/4	3677	3646	1	2	1	0	0	1	0
115	95	chapter/4	4244	4208	1	0	1	4	0	2	0
116	97	chapter/4	4661	4623	2	2	1	1	0	0	0
117	98	chapter/4	3695	3661	1	0	1	3	0	1	0
118	99	chapter/4	4310	4269	2	2	1	4	0	4	0
119	100	chapter/4	4850	4827	2	0	1	5	0	11	0
120	101	chapter/4	4402	4354	1	4	1	5	0	0	0
121	102	chapter/4	3892	3852	1	1	1	5	0	2	0
122	103	chapter/4	3557	3509	2	6	1	3	0	1	0
123	104	chapter/4	4002	3966	1	0	1	4	0	1	0
124	105	chapter/4	4935	4884	1	2	1	9	0	3	0
125	106	chapter/4	4155	4116	1	1	1	4	0	0	0
126	107	chapter/4	3893	3854	1	1	1	5	0	2	0
127	108	chapter/4	4171	4164	1	2	1	2	0	1	1
128	109	chapter/4	3458	3417	0	3	1	5	0	3	0
129	110	chapter/4	4021	3968	1	2	1	10	0	1	0
130	112	chapter/4	3663	3641	1	1	1	3	1	3	0
131	113	chapter/4	4348	4306	1	1	1	5	0	2	0
132	114	chapter/4	4665	4710	0	1	1	4	4	5	1
133	115	chapter/4	3652	3668	0	0	1	5	4	8	0
134	116	chapter/4	4162	4106	1	3	1	11	0	0	0
135	117	chapter/4	3966	3923	0	0	1	8	0	2	0
136	118	chapter/4	3998	3971	0	1	1	6	1	5	0
137	119	chapter/4	4091	4200	1	0	1	3	7	3	2
138	120	chapter/4	4855	4842	0	2	0	4	0	5	0
139	121	chapter/4	3388	3344	1	0	1	8	0	1	0
140	122	chapter/4	2921	2912	1	2	1	1	0	0	1
141	123	chapter/4	4365	4354	1	0	1	4	2	7	0
142	124	chapter/4	4511	4464	0	1	1	10	0	1	0
143	125	chapter/4	4306	4249	2	0	1	12	0	5	0
144	127	chapter/4	4236	4191	0	3	1	6	0	3	0
145	128	chapter/4	3930	3895	2	0	1	2	0	0	0
146	129	chapter/4	3797	3766	0	2	1	1	0	0	0
147	130	chapter/4	3949	3917	1	0	1	2	0	3	0
148	131	chapter/4	5104	5093	0	2	1	6	0	13	1
149	132	chapter/4	3915	3888	0	0	1	1	0	0	0
150	133	chapter/4	872	834	1	4	1	2	0	0	0
151	134	chapter/5	2722	2698	0	4	1	3	0	2	0
152	135	chapter/5	3709	3660	1	2	1	4	0	1	0
153	136	chapter/5	3760	3716	1	1	1	2	0	1	0
154	137	chapter/5	3064	3026	2	1	1	1	0	0	0
155	138	chapter/5	3745	3692	2	2	1	5	0	0	0
156	139	chapter/5	2944	2901	0	2	1	4	0	1	0
157	140	chapter/5	3770	3726	1	0	1	4	0	5	0
158	141	chapter/5	4451	4398	0	1	1	9	0	3	0
159	142	chapter/5	5210	5159	1	0	1	8	0	0	0
160	143	chapter/5	4251	4205	0	0	1	7	0	2	0
161	144	chapter/5	3531	3473	1	3	1	7	0	1	0
162	145	chapter/5	3690	3648	1	2	1	2	0	1	0
163	146	chapter/5	4221	4174	0	0	1	9	0	1	0
164	146	chapter/5	4901	4857	0	1	1	6	0	1	0
165	147	chapter/5	3414	3377	0	0	1	3	0	4	0
166	148	chapter/5	3556	3515	1	2	1	3	0	4	0
167	149	chapter/5	3947	3896	1	1	1	4	0	3	0
168	150	chapter/5	4259	4212	0	2	1	4	0	2	0
169	151	chapter/5	3032	2992	0	0	1	3	0	2	0
170	152	chapter/5	3658	3609	1	2	1	4	0	2	0
171	153	chapter/5	3404	3359	1	1	1	2	0	1	0
172	154	chapter/5	3429	3385	0	1	1	4	0	1	0
173	155	chapter/5	468	427	2	0	1	0	0	0	0
174	156	chapter/5	2584	2566	1	1	1	1	0	1	0
175	157	appendix/1	3784	3770	0	1	1	0	0	1	0
176	158	appendix/1	4032	4034	1	1	1	6	0	2	1
177	160	appendix/1	3390	3375	1	0	1	0	0	0	0
178	161	appendix/2	2765	2740	0	6	1	1	0	0	0
179	162	appendix/2	3710	3690	1	0	1	2	0	0	0
180	163	appendix/2	4176	4151	0	4	1	3	0	3	0
181	164	appendix/2	3374	3411	1	1	1	2	0	1	2
182	165	appendix/3	3286	3265	1	2	1	2	0	0	0
183	166	appendix/3	4756	4727	1	1	1	6	0	0	0
184	167	appendix/3	4293	4272	1	2	1	2	0	2	0
185	168	appendix/3	4020	3999	1	0	1	3	0	1	0
186	169	appendix/3	3717	3696	1	2	1	2	0	1	0
187	170	appendix/3	1368	1355	1	0	1	0	0	0	0
188	171	appendix/4	2496	2473	0	4	1	2	0	0	0
189	172	appendix/4	3754	3748	1	1	1	1	1	3	0
190	173	appendix/4	4813	4793	1	0	1	3	0	3	0
191	174	appendix/4	4193	4173	1	0	1	2	0	3	0
192	175	appendix/4	4275	4258	0	2	1	1	0	2	0
193	176	appendix/4	1687	1685	0	0	0	1	0	0	0
194	177	appendix/5	2319	2323	0	4	1	3	0	2	1
195	178	appendix/5	3225	3256	3	0	1	0	4	0	0
196	179	appendix/5	4161	4169	1	1	1	2	0	10	1
197	180	appendix/5	4127	4140	0	0	1	2	0	6	1
198	181	appendix/5	3652	3627	2	1	1	3	0	4	0
199	182	appendix/5	2911	2894	1	1	1	6	1	6	0
200		plates/figures	21	17	0	2	0	0	0	0	0
201		plates/figures	736	754	3	0	0	1	2	12	0
202		plates/figures	160	154	2	0	0	0	0	1	0
203		plates/figures	115	95	6	0	1	0	0	11	0
204		plates/figures	326	316	2	2	0	0	0	1	0
205		plates/figures	145	145	0	0	0	0	0	2	0
206		plates/figures	452	472	1	1	0	1	0	1	1
207		plates/figures	282	282	0	0	0	0	0	0	0
208		plates/figures	607	586	2	3	1	1	0	2	0
209		plates/figures	79	77	1	0	0	0	0	0	0
210		plates/figures	147	133	0	7	0	0	0	1	0
211		plates/figures	700	690	1	2	0	1	0	0	0
212		plates/figures	123	106	2	6	0	0	0	0	0
213		plates/figures	74	74	0	0	0	0	0	1	0
214		plates/figures	173	189	2	4	0	0	0	3	1
215		plates/figures	114	296	0	0	0	0	14	0	0
216		plates/figures	103	87	3	2	0	0	0	0	0
217		plates/figures	68	60	3	0	0	0	0	1	0
218		plates/figures	155	143	3	3	0	0	0	0	0
219		plates/figures	75	60	5	0	0	0	0	0	0
220		plates/figures	142	142	0	0	0	0	0	2	0
221		plates/figures	1375	1441	5	0	0	0	4	1	1
222		plates/figures	1172	1398	12	2	0	10	19	10	1
223		plates/figures	152	153	3	0	0	0	1	0	0
224		plates/figures	561	1603	3	2	0	0	72	21	4
225		plates/figures	183	202	7	0	0	0	0	0	2
226		plates/figures	272	427	3	4	0	0	11	5	1
227		plates/figures	355	401	4	2	1	0	3	3	1
228		plates/figures	347	340	9	4	1	0	2	7	0
229		plates/figures	1008	1082	5	1	1	0	2	9	3
230	183	plates/tables	33	47	3	4	0	0	0	0	1
231	184	plates/tables	622	1054	0	6	1	0	28	16	3
232	185	plates/tables	4160	4229	0	2	0	2	6	17	0
233	186	plates/tables	3404	3394	0	0	1	1	0	2	0
234	187	plates/tables	1270	1270	0	0	0	0	0	1	0
235	188	plates/tables	1619	1586	8	1	1	0	0	0	0
236	189	plates/tables	1823	1854	9	0	0	0	0	0	2
237	190	plates/tables	790	783	0	0	1	0	0	1	0
238	191	plates/tables	1930	1945	2	1	1	0	0	1	1
239	192	plates/tables	2027	2012	2	1	1	0	0	1	0
240	193	plates/tables	1806	1911	0	2	1	0	0	2	4
241	194	plates/tables	2109	2687	0	7	1	2	42	19	2
242	195	plates/tables	663	1538	2	2	1	0	57	19	5
243	196	plates/tables	2510	2492	0	4	1	0	0	1	0
244	197	plates/tables	1665	1649	2	0	0	10	1	1	0
245	198	plates/tables	1868	1837	0	1	1	11	0	0	0
246	199	plates/tables	536	1428	0	2	1	0	47	23	10
247	200	plates/tables	1516	1683	0	1	1	0	0	0	6
248	201	plates/tables	3619	3599	2	0	1	3	0	2	0
249	202	plates/tables	1487	1516	0	3	1	0	1	0	1
250	203	plates/tables	1146	1757	0	3	1	0	48	34	0
251	204	plates/tables	1103	1647	1	0	0	0	42	13	0
252	205	plates/tables	958	1400	1	1	1	0	35	20	0
253	207	plates/tables	2265	2590	0	0	0	0	25	8	0
254	208	plates/tables	5385	5368	1	2	1	1	0	4	0
255	209	plates/tables	3095	3086	0	0	1	1	0	5	0
256	210	plates/tables	1799	1782	1	2	1	1	0	4	0
257	211	plates/tables	696	712	0	3	1	0	0	3	1
258	212	plates/tables	854	840	1	1	1	0	0	2	0
259	213	plates/tables	694	719	0	5	1	0	1	7	1
260	214	plates/tables	553	536	1	3	1	0	0	3	0
261	215	plates/tables	542	523	1	4	1	0	0	3	0
262	216	plates/tables	721	1110	3	6	1	0	13	14	8
263	217	plates/tables	429	1177	0	6	1	0	34	13	11
264	218	plates/tables	371	783	15	1	1	0	17	12	8
265	219	plates/tables	381	1061	0	4	1	0	24	12	13
266	220	plates/tables	5078	5063	2	0	1	1	0	1	0
267	221	plates/tables	633	887	0	5	1	0	5	6	7
268	222	plates/tables	1701	1676	2	19	1	2	0	4	1
269	223	plates/tables	2385	2360	1	8	1	0	0	1	0
270	224	plates/tables	2142	2124	1	1	1	2	0	1	0
271	225	plates/tables	1216	1233	0	12	1	2	4	2	0
272	226	plates/tables	1555	1542	0	2	1	0	0	7	0
273	227	plates/tables	1468	1457	0	2	1	0	0	3	0
274	228	plates/tables	2070	2063	0	0	1	0	0	8	0
275	229	backmatter/bibliography-a	2240	2321	0	5	1	0	6	29	1
276	230	backmatter/bibliography-a	2954	3027	1	1	1	0	5	61	1
277	231	backmatter/bibliography-a	1965	1939	2	3	1	0	0	26	0
278	232	backmatter/bibliography-b	2100	2280	1	0	1	1	11	41	2
279	233	backmatter/bibliography-b	2856	2814	4	5	1	0	0	26	0
280	234	backmatter/bibliography-b	2647	2744	1	1	1	1	7	38	1
281	235	backmatter/bibliography-b	2567	2661	0	3	1	0	9	64	0
282	236	backmatter/bibliography-b	2558	2699	1	0	0	0	11	55	0
283	237	backmatter/bibliography-b	2604	2770	0	0	1	0	14	55	0
284	238	backmatter/bibliography-b	2453	2485	2	0	1	1	2	23	1
285	239	backmatter/bibliography-b	2534	2741	0	0	0	0	16	83	0
286	240	backmatter/bibliography-b	2421	2578	1	2	1	2	14	54	0
287	241	backmatter/bibliography-b	2295	2549	0	4	1	1	17	50	2
288	242	backmatter/bibliography-b	2491	2809	4	1	1	0	27	73	0
289	243	backmatter/bibliography-b	2658	2671	1	2	1	2	3	21	0
290	244	backmatter/bibliography-b	2375	2457	1	0	1	0	8	56	0
291	245	backmatter/bibliography-b	2339	2577	1	2	1	1	18	83	1
292	246	backmatter/bibliography-b	2158	2250	1	1	1	2	9	52	0
293	247	backmatter/bibliography-b	2776	2777	2	1	1	1	2	9	0
294	248	backmatter/bibliography-b	2453	2477	0	0	1	0	3	19	0
295	249	backmatter/bibliography-b	2337	2456	0	3	1	1	11	80	0
296	250	backmatter/bibliography-b	2402	2409	0	0	1	2	2	24	0
297	251	backmatter/bibliography-b	2343	2404	0	1	0	1	5	70	0
298	252	backmatter/bibliography-b	2707	2728	1	1	1	0	1	42	1
299	253	backmatter/bibliography-b	2344	2379	0	1	0	1	3	23	0
300	254	backmatter/bibliography-b	2458	2530	1	0	1	0	7	35	0
301	255	backmatter/bibliography-b	2117	2233	1	3	1	0	11	23	0
302	256	backmatter/bibliography-b	997	1000	2	2	0	0	1	12	0
303	257	backmatter/finding-list	2082	2103	1	3	0	0	0	0	1
304	258	backmatter/finding-list	2326	2309	1	0	1	0	0	3	0
305	259	backmatter/finding-list	2763	2746	0	2	1	0	0	6	0
306	260	backmatter/finding-list	2613	2683	1	1	1	0	0	2	3
307	261	backmatter/finding-list	2919	2899	3	2	1	0	1	1	0
308	263	backmatter/finding-list	3117	3098	0	3	1	0	0	7	0
309	264	backmatter/finding-list	2425	2408	0	2	1	0	0	0	0
310	265	backmatter/finding-list	3210	3190	2	0	1	0	0	1	0
311	266	backmatter/finding-list	1096	1070	2	3	1	0	0	0	0
312	267	backmatter/index	6045	6037	1	2	0	15	0	7	1
313	268	backmatter/index	7007	7060	1	0	1	14	7	9	0
314	269	backmatter/index	7157	7116	2	5	1	22	2	8	0
315	270	backmatter/index	7325	7291	1	0	1	11	0	0	0
316	271	backmatter/index	7266	7212	1	13	1	16	1	5	0
317	272	backmatter/index	7264	7249	1	0	1	14	2	3	0
318	273	backmatter/index	6773	6754	0	6	1	7	1	3	0
319	274	backmatter/index	7009	6973	1	0	1	13	0	4	0
320	275	backmatter/index	7365	7309	0	10	0	17	0	1	0
321	276	backmatter/index	7596	7552	1	0	1	16	0	10	0
322	277	backmatter/index	7852	7804	2	5	1	12	0	1	0
323	278	backmatter/index	6706	6714	2	1	1	11	4	17	0
324	279	backmatter/index	7188	7157	2	4	1	13	1	14	0
325	280	backmatter/index	6926	6889	2	1	1	18	1	7	0
326	281	backmatter/index	3071	3069	2	5	1	11	1	9	1
