scan_page,printed_page,logical_page,section,image_path,ocr_start_offset,ocr_end_offset,notes
1,,,frontmatter/half-title,source/pages/p_0001.png,0,30,
2,,,frontmatter/half-title,source/pages/p_0002.png,31,67,
3,,,frontmatter/title,source/pages/p_0003.png,68,207,
4,,,frontmatter/copyright,source/pages/p_0004.png,208,618,
5,v,,frontmatter/dedication,source/pages/p_0005.png,619,833,
6,vii,,frontmatter/epigraph,source/pages/p_0006.png,834,1097,
7,ix,,frontmatter/contents,source/pages/p_0007.png,1098,2139,
8,ix,,frontmatter/contents,source/pages/p_0008.png,2140,3544,
9,x,,frontmatter/contents,source/pages/p_0009.png,3545,5106,
10,x,,frontmatter/list-of-figures-tables,source/pages/p_0010.png,5107,6798,
11,xi,,frontmatter/list-of-figures-tables,source/pages/p_0011.png,6799,8824,
12,xii,,frontmatter/abbreviations,source/pages/p_0012.png,8825,10332,
13,xiii,,frontmatter/preface,source/pages/p_0013.png,10333,13275,
14,xiv,,frontmatter/preface,source/pages/p_0014.png,13276,17287,
15,xv,,frontmatter/preface,source/pages/p_0015.png,17288,20850,
16,xvi,,frontmatter/preface,source/pages/p_0016.png,20851,23694,
17,xvii,,frontmatter/preface,source/pages/p_0017.png,23695,26996,
18,1,,frontmatter/preamble,source/pages/p_0018.png,26997,29824,
19,2,,frontmatter/preamble,source/pages/p_0019.png,29825,33899,
20,3,,chapter/1,source/pages/p_0020.png,33900,36489,
21,4,,chapter/1,source/pages/p_0021.png,36490,40864,
22,5,,chapter/1,source/pages/p_0022.png,40865,45102,
23,6,,chapter/1,source/pages/p_0023.png,45103,48104,
24,7,,chapter/1,source/pages/p_0024.png,48105,53030,
25,8,,chapter/1,source/pages/p_0025.png,53031,57255,
26,9,,chapter/1,source/pages/p_0026.png,57256,61235,
27,10,,chapter/1,source/pages/p_0027.png,61236,66039,
28,11,,chapter/1,source/pages/p_0028.png,66040,70597,
29,12,,chapter/1,source/pages/p_0029.png,70598,74182,
30,13,,chapter/1,source/pages/p_0030.png,74183,78110,
31,14,,chapter/1,source/pages/p_0031.png,78111,82339,
32,15,,chapter/1,source/pages/p_0032.png,82340,86151,
33,16,,chapter/1,source/pages/p_0033.png,86152,90621,
34,17,,chapter/1,source/pages/p_0034.png,90622,95054,
35,18,,chapter/1,source/pages/p_0035.png,95055,99073,
36,19,,chapter/1,source/pages/p_0036.png,99074,102192,
37,20,,chapter/1,source/pages/p_0037.png,102193,105961,
38,21,,chapter/1,source/pages/p_0038.png,105962,110104,
39,22,,chapter/1,source/pages/p_0039.png,110105,114796,
40,23,,chapter/1,source/pages/p_0040.png,114797,119217,
41,24,,chapter/1,source/pages/p_0041.png,119218,122776,
42,25,,chapter/1,source/pages/p_0042.png,122777,126390,
43,26,,chapter/1,source/pages/p_0043.png,126391,130810,
44,27,,chapter/1,source/pages/p_0044.png,130811,131107,
45,28,,chapter/2,source/pages/p_0045.png,131108,133514,
46,29,,chapter/2,source/pages/p_0046.png,133515,138161,
47,30,,chapter/2,source/pages/p_0047.png,138162,142411,
48,31,,chapter/2,source/pages/p_0048.png,142412,145863,
49,32,,chapter/2,source/pages/p_0049.png,145864,150564,
50,33,,chapter/2,source/pages/p_0050.png,150565,153986,
51,34,,chapter/2,source/pages/p_0051.png,153987,157157,
52,35,,chapter/2,source/pages/p_0052.png,157158,160746,
53,36,,chapter/2,source/pages/p_0053.png,160747,164546,
54,37,,chapter/2,source/pages/p_0054.png,164547,168155,
55,38,,chapter/2,source/pages/p_0055.png,168156,172895,
56,39,,chapter/2,source/pages/p_0056.png,172896,177323,
57,40,,chapter/2,source/pages/p_0057.png,177324,180663,
58,41,,chapter/2,source/pages/p_0058.png,180664,185246,
59,42,,chapter/2,source/pages/p_0059.png,185247,187933,
60,43,,chapter/2,source/pages/p_0060.png,187934,190482,
61,44,,chapter/2,source/pages/p_0061.png,190483,193826,
62,45,,chapter/2,source/pages/p_0062.png,193827,197878,
63,46,,chapter/2,source/pages/p_0063.png,197879,202159,
64,47,,chapter/2,source/pages/p_0064.png,202160,206169,
65,48,,chapter/2,source/pages/p_0065.png,206170,210770,
66,49,,chapter/2,source/pages/p_0066.png,210771,215281,
67,50,,chapter/2,source/pages/p_0067.png,215282,219129,
68,51,,chapter/2,source/pages/p_0068.png,219130,224397,
69,52,,chapter/2,source/pages/p_0069.png,224398,228534,
70,53,,chapter/2,source/pages/p_0070.png,228535,232122,
71,54,,chapter/2,source/pages/p_0071.png,232123,236195,
72,55,,chapter/2,source/pages/p_0072.png,236196,239902,
73,56,,chapter/2,source/pages/p_0073.png,239903,244164,
74,57,,chapter/3,source/pages/p_0074.png,244165,246421,
75,58,,chapter/3,source/pages/p_0075.png,246422,251007,
76,59,,chapter/3,source/pages/p_0076.png,251008,254923,
77,60,,chapter/3,source/pages/p_0077.png,254924,258387,
78,61,,chapter/3,source/pages/p_0078.png,258388,261983,
79,62,,chapter/3,source/pages/p_0079.png,261984,265760,
80,62,,chapter/3,source/pages/p_0080.png,265761,269310,
81,63,,chapter/3,source/pages/p_0081.png,269311,272576,
82,64,,chapter/3,source/pages/p_0082.png,272577,276267,
83,65,,chapter/3,source/pages/p_0083.png,276268,280962,
84,66,,chapter/3,source/pages/p_0084.png,280963,285360,
85,67,,chapter/3,source/pages/p_0085.png,285361,289537,
86,68,,chapter/3,source/pages/p_0086.png,289538,293558,
87,69,,chapter/3,source/pages/p_0087.png,293559,297332,
88,70,,chapter/3,source/pages/p_0088.png,297333,300574,
89,71,,chapter/3,source/pages/p_0089.png,300575,304261,
90,72,,chapter/3,source/pages/p_0090.png,304262,308071,
91,72,,chapter/3,source/pages/p_0091.png,308072,311485,
92,73,,chapter/3,source/pages/p_0092.png,311486,315417,
93,74,,chapter/3,source/pages/p_0093.png,315418,318450,
94,75,,chapter/3,source/pages/p_0094.png,318451,321222,
95,76,,chapter/3,source/pages/p_0095.png,321223,325533,
96,77,,chapter/3,source/pages/p_0096.png,325534,328204,
97,78,,chapter/3,source/pages/p_0097.png,328205,331870,
98,79,,chapter/3,source/pages/p_0098.png,331871,336451,
99,80,,chapter/3,source/pages/p_0099.png,336452,339628,
100,81,,chapter/3,source/pages/p_0100.png,339629,343027,
101,82,,chapter/3,source/pages/p_0101.png,343028,347331,
102,83,,chapter/3,source/pages/p_0102.png,347332,351397,
103,83,,chapter/3,source/pages/p_0103.png,351398,354635,
104,84,,chapter/3,source/pages/p_0104.png,354636,358744,
105,85,,chapter/3,source/pages/p_0105.png,358745,361509,
106,86,,chapter/3,source/pages/p_0106.png,361510,364770,
107,87,,chapter/3,source/pages/p_0107.png,364771,365935,
108,88,,chapter/4,source/pages/p_0108.png,365936,368314,
109,89,,chapter/4,source/pages/p_0109.png,368315,371674,
110,90,,chapter/4,source/pages/p_0110.png,371675,375789,
111,91,,chapter/4,source/pages/p_0111.png,375790,379062,
112,92,,chapter/4,source/pages/p_0112.png,379063,382732,
113,93,,chapter/4,source/pages/p_0113.png,382733,386960,
114,94,,chapter/4,source/pages/p_0114.png,386961,390638,
115,95,,chapter/4,source/pages/p_0115.png,390639,394883,
116,97,,chapter/4,source/pages/p_0116.png,394884,399545,
117,98,,chapter/4,source/pages/p_0117.png,399546,403241,
118,99,,chapter/4,source/pages/p_0118.png,403242,407552,
119,100,,chapter/4,source/pages/p_0119.png,407553,412403,
120,101,,chapter/4,source/pages/p_0120.png,412404,416806,
121,102,,chapter/4,source/pages/p_0121.png,416807,420699,
122,103,,chapter/4,source/pages/p_0122.png,420700,424257,
123,104,,chapter/4,source/pages/p_0123.png,424258,428260,
124,105,,chapter/4,source/pages/p_0124.png,428261,433196,
125,106,,chapter/4,source/pages/p_0125.png,433197,437352,
126,107,,chapter/4,source/pages/p_0126.png,437353,441246,
127,108,,chapter/4,source/pages/p_0127.png,441247,445418,
128,109,,chapter/4,source/pages/p_0128.png,445419,448877,
129,110,,chapter/4,source/pages/p_0129.png,448878,452899,
130,112,,chapter/4,source/pages/p_0130.png,452900,456563,
131,113,,chapter/4,source/pages/p_0131.png,456564,460912,
132,114,,chapter/4,source/pages/p_0132.png,460913,465578,
133,115,,chapter/4,source/pages/p_0133.png,465579,469231,
134,116,,chapter/4,source/pages/p_0134.png,469232,473394,
135,117,,chapter/4,source/pages/p_0135.png,473395,477361,
136,118,,chapter/4,source/pages/p_0136.png,477362,481360,
137,119,,chapter/4,source/pages/p_0137.png,481361,485452,
138,120,,chapter/4,source/pages/p_0138.png,485453,490308,
139,121,,chapter/4,source/pages/p_0139.png,490309,493697,
140,122,,chapter/4,source/pages/p_0140.png,493698,496619,
141,123,,chapter/4,source/pages/p_0141.png,496620,500985,
142,124,,chapter/4,source/pages/p_0142.png,500986,505497,
143,125,,chapter/4,source/pages/p_0143.png,505498,509804,
144,127,,chapter/4,source/pages/p_0144.png,509805,514041,
145,128,,chapter/4,source/pages/p_0145.png,514042,517972,
146,129,,chapter/4,source/pages/p_0146.png,517973,521770,
147,130,,chapter/4,source/pages/p_0147.png,521771,525720,
148,131,,chapter/4,source/pages/p_0148.png,525721,530825,
149,132,,chapter/4,source/pages/p_0149.png,530826,534741,
150,133,,chapter/4,source/pages/p_0150.png,534742,535614,
151,134,,chapter/5,source/pages/p_0151.png,535615,538337,
152,135,,chapter/5,source/pages/p_0152.png,538338,542047,
153,136,,chapter/5,source/pages/p_0153.png,542048,545808,
154,137,,chapter/5,source/pages/p_0154.png,545809,548873,
155,138,,chapter/5,source/pages/p_0155.png,548874,552619,
156,139,,chapter/5,source/pages/p_0156.png,552620,555564,
157,140,,chapter/5,source/pages/p_0157.png,555565,559335,
158,141,,chapter/5,source/pages/p_0158.png,559336,563787,
159,142,,chapter/5,source/pages/p_0159.png,563788,568998,
160,143,,chapter/5,source/pages/p_0160.png,568999,573250,
161,144,,chapter/5,source/pages/p_0161.png,573251,576782,
162,145,,chapter/5,source/pages/p_0162.png,576783,580473,
163,146,,chapter/5,source/pages/p_0163.png,580474,584695,
164,146,,chapter/5,source/pages/p_0164.png,584696,589597,
165,147,,chapter/5,source/pages/p_0165.png,589598,593012,
166,148,,chapter/5,source/pages/p_0166.png,593013,596569,
167,149,,chapter/5,source/pages/p_0167.png,596570,600517,
168,150,,chapter/5,source/pages/p_0168.png,600518,604777,
169,151,,chapter/5,source/pages/p_0169.png,604778,607810,
170,152,,chapter/5,source/pages/p_0170.png,607811,611469,
171,153,,chapter/5,source/pages/p_0171.png,611470,614874,
172,154,,chapter/5,source/pages/p_0172.png,614875,618304,
173,155,,chapter/5,source/pages/p_0173.png,618305,618773,
174,156,,chapter/5,source/pages/p_0174.png,618774,621358,
175,157,,appendix/1,source/pages/p_0175.png,621359,625143,
176,158,,appendix/1,source/pages/p_0176.png,625144,629176,
177,160,,appendix/1,source/pages/p_0177.png,629177,632567,
178,161,,appendix/2,source/pages/p_0178.png,632568,635333,
179,162,,appendix/2,source/pages/p_0179.png,635334,639044,
180,163,,appendix/2,source/pages/p_0180.png,639045,643221,
181,164,,appendix/2,source/pages/p_0181.png,643222,646596,
182,165,,appendix/3,source/pages/p_0182.png,646597,649883,
183,166,,appendix/3,source/pages/p_0183.png,649884,654640,
184,167,,appendix/3,source/pages/p_0184.png,654641,658934,
185,168,,appendix/3,source/pages/p_0185.png,658935,662955,
186,169,,appendix/3,source/pages/p_0186.png,662956,666673,
187,170,,appendix/3,source/pages/p_0187.png,666674,668042,
188,171,,appendix/4,source/pages/p_0188.png,668043,670539,
189,172,,appendix/4,source/pages/p_0189.png,670540,674294,
190,173,,appendix/4,source/pages/p_0190.png,674295,679108,
191,174,,appendix/4,source/pages/p_0191.png,679109,683302,
192,175,,appendix/4,source/pages/p_0192.png,683303,687578,
193,176,,appendix/4,source/pages/p_0193.png,687579,689266,
194,177,,appendix/5,source/pages/p_0194.png,689267,691586,
195,178,,appendix/5,source/pages/p_0195.png,691587,694812,
196,179,,appendix/5,source/pages/p_0196.png,694813,698974,
197,180,,appendix/5,source/pages/p_0197.png,698975,703102,
198,181,,appendix/5,source/pages/p_0198.png,703103,706755,
199,182,,appendix/5,source/pages/p_0199.png,706756,709667,
200,,,plates/figures,source/pages/p_0200.png,709668,709689,
201,,,plates/figures,source/pages/p_0201.png,709690,710426,
202,,,plates/figures,source/pages/p_0202.png,710427,710587,
203,,,plates/figures,source/pages/p_0203.png,710588,710703,
204,,,plates/figures,source/pages/p_0204.png,710704,711030,
205,,,plates/figures,source/pages/p_0205.png,711031,711176,
206,,,plates/figures,source/pages/p_0206.png,711177,711629,
207,,,plates/figures,source/pages/p_0207.png,711630,711912,
208,,,plates/figures,source/pages/p_0208.png,711913,712520,
209,,,plates/figures,source/pages/p_0209.png,712521,712600,
210,,,plates/figures,source/pages/p_0210.png,712601,712748,
211,,,plates/figures,source/pages/p_0211.png,712749,713449,
212,,,plates/figures,source/pages/p_0212.png,713450,713573,
213,,,plates/figures,source/pages/p_0213.png,713574,713648,
214,,,plates/figures,source/pages/p_0214.png,713649,713822,
215,,,plates/figures,source/pages/p_0215.png,713823,713937,
216,,,plates/figures,source/pages/p_0216.png,713938,714041,
217,,,plates/figures,source/pages/p_0217.png,714042,714110,
218,,,plates/figures,source/pages/p_0218.png,714111,714266,
219,,,plates/figures,source/pages/p_0219.png,714267,714342,
220,,,plates/figures,source/pages/p_0220.png,714343,714485,
221,,,plates/figures,source/pages/p_0221.png,714486,715861,
222,,,plates/figures,source/pages/p_0222.png,715862,717034,
223,,,plates/figures,source/pages/p_0223.png,717035,717187,
224,,,plates/figures,source/pages/p_0224.png,717188,717749,
225,,,plates/figures,source/pages/p_0225.png,717750,717933,
226,,,plates/figures,source/pages/p_0226.png,717934,718206,
227,,,plates/figures,source/pages/p_0227.png,718207,718562,
228,,,plates/figures,source/pages/p_0228.png,718563,718910,
229,,,plates/figures,source/pages/p_0229.png,718911,719919,
230,183,,plates/tables,source/pages/p_0230.png,719920,719953,
231,184,,plates/tables,source/pages/p_0231.png,719954,720576,
232,185,,plates/tables,source/pages/p_0232.png,720577,724737,
233,186,,plates/tables,source/pages/p_0233.png,724738,728142,
234,187,,plates/tables,source/pages/p_0234.png,728143,729413,
235,188,,plates/tables,source/pages/p_0235.png,729414,731033,
236,189,,plates/tables,source/pages/p_0236.png,731034,732857,
237,190,,plates/tables,source/pages/p_0237.png,732858,733648,
238,191,,plates/tables,source/pages/p_0238.png,733649,735579,
239,192,,plates/tables,source/pages/p_0239.png,735580,737607,
240,193,,plates/tables,source/pages/p_0240.png,737608,739414,
241,194,,plates/tables,source/pages/p_0241.png,739415,741524,
242,195,,plates/tables,source/pages/p_0242.png,741525,742188,
243,196,,plates/tables,source/pages/p_0243.png,742189,744699,
244,197,,plates/tables,source/pages/p_0244.png,744700,746365,
245,198,,plates/tables,source/pages/p_0245.png,746366,748234,
246,199,,plates/tables,source/pages/p_0246.png,748235,748771,
247,200,,plates/tables,source/pages/p_0247.png,748772,750288,
248,201,,plates/tables,source/pages/p_0248.png,750289,753908,
249,202,,plates/tables,source/pages/p_0249.png,753909,755396,
250,203,,plates/tables,source/pages/p_0250.png,755397,756543,
251,204,,plates/tables,source/pages/p_0251.png,756544,757647,
252,205,,plates/tables,source/pages/p_0252.png,757648,758606,
253,207,,plates/tables,source/pages/p_0253.png,758607,760872,
254,208,,plates/tables,source/pages/p_0254.png,760873,766258,
255,209,,plates/tables,source/pages/p_0255.png,766259,769354,
256,210,,plates/tables,source/pages/p_0256.png,769355,771154,
257,211,,plates/tables,source/pages/p_0257.png,771155,771851,
258,212,,plates/tables,source/pages/p_0258.png,771852,772706,
259,213,,plates/tables,source/pages/p_0259.png,772707,773401,
260,214,,plates/tables,source/pages/p_0260.png,773402,773955,
261,215,,plates/tables,source/pages/p_0261.png,773956,774498,
262,216,,plates/tables,source/pages/p_0262.png,774499,775220,
263,217,,plates/tables,source/pages/p_0263.png,775221,775650,
264,218,,plates/tables,source/pages/p_0264.png,775651,776022,
265,219,,plates/tables,source/pages/p_0265.png,776023,776404,
266,220,,plates/tables,source/pages/p_0266.png,776405,781483,
267,221,,plates/tables,source/pages/p_0267.png,781484,782117,
268,222,,plates/tables,source/pages/p_0268.png,782118,783819,
269,223,,plates/tables,source/pages/p_0269.png,783820,786205,
270,224,,plates/tables,source/pages/p_0270.png,786206,788348,
271,225,,plates/tables,source/pages/p_0271.png,788349,789565,
272,226,,plates/tables,source/pages/p_0272.png,789566,791121,
273,227,,plates/tables,source/pages/p_0273.png,791122,792590,
274,228,,plates/tables,source/pages/p_0274.png,792591,794661,
275,229,,backmatter/bibliography-a,source/pages/p_0275.png,794662,796902,
276,230,,backmatter/bibliography-a,source/pages/p_0276.png,796903,799857,
277,231,,backmatter/bibliography-a,source/pages/p_0277.png,799858,801823,
278,232,,backmatter/bibliography-b,source/pages/p_0278.png,801824,803924,
279,233,,backmatter/bibliography-b,source/pages/p_0279.png,803925,806781,
280,234,,backmatter/bibliography-b,source/pages/p_0280.png,806782,809429,
281,235,,backmatter/bibliography-b,source/pages/p_0281.png,809430,811997,
282,236,,backmatter/bibliography-b,source/pages/p_0282.png,811998,814556,
283,237,,backmatter/bibliography-b,source/pages/p_0283.png,814557,817161,
284,238,,backmatter/bibliography-b,source/pages/p_0284.png,817162,819615,
285,239,,backmatter/bibliography-b,source/pages/p_0285.png,819616,822150,
286,240,,backmatter/bibliography-b,source/pages/p_0286.png,822151,824572,
287,241,,backmatter/bibliography-b,source/pages/p_0287.png,824573,826868,
288,242,,backmatter/bibliography-b,source/pages/p_0288.png,826869,829360,
289,243,,backmatter/bibliography-b,source/pages/p_0289.png,829361,832019,
290,244,,backmatter/bibliography-b,source/pages/p_0290.png,832020,834395,
291,245,,backmatter/bibliography-b,source/pages/p_0291.png,834396,836735,
292,246,,backmatter/bibliography-b,source/pages/p_0292.png,836736,838894,
293,247,,backmatter/bibliography-b,source/pages/p_0293.png,838895,841671,
294,248,,backmatter/bibliography-b,source/pages/p_0294.png,841672,844125,
295,249,,backmatter/bibliography-b,source/pages/p_0295.png,844126,846463,
296,250,,backmatter/bibliography-b,source/pages/p_0296.png,846464,848866,
297,251,,backmatter/bibliography-b,source/pages/p_0297.png,848867,851210,
298,252,,backmatter/bibliography-b,source/pages/p_0298.png,851211,853918,
299,253,,backmatter/bibliography-b,source/pages/p_0299.png,853919,856263,
300,254,,backmatter/bibliography-b,source/pages/p_0300.png,856264,858722,
301,255,,backmatter/bibliography-b,source/pages/p_0301.png,858723,860840,
302,256,,backmatter/bibliography-b,source/pages/p_0302.png,860841,861838,
303,257,,backmatter/finding-list,source/pages/p_0303.png,861839,863921,
304,258,,backmatter/finding-list,source/pages/p_0304.png,863922,866248,
305,259,,backmatter/finding-list,source/pages/p_0305.png,866249,869012,
306,260,,backmatter/finding-list,source/pages/p_0306.png,869013,871626,
307,261,,backmatter/finding-list,source/pages/p_0307.png,871627,874546,
308,263,,backmatter/finding-list,source/pages/p_0308.png,874547,877664,
309,264,,backmatter/finding-list,source/pages/p_0309.png,877665,880090,
310,265,,backmatter/finding-list,source/pages/p_0310.png,880091,883301,
311,266,,backmatter/finding-list,source/pages/p_0311.png,883302,884398,
312,267,,backmatter/index,source/pages/p_0312.png,884399,890444,
313,268,,backmatter/index,source/pages/p_0313.png,890445,897452,
314,269,,backmatter/index,source/pages/p_0314.png,897453,904610,
315,270,,backmatter/index,source/pages/p_0315.png,904611,911936,
316,271,,backmatter/index,source/pages/p_0316.png,911937,919203,
317,272,,backmatter/index,source/pages/p_0317.png,919204,926468,
318,273,,backmatter/index,source/pages/p_0318.png,926469,933242,
319,274,,backmatter/index,source/pages/p_0319.png,933243,940252,
320,275,,backmatter/index,source/pages/p_0320.png,940253,947618,
321,276,,backmatter/index,source/pages/p_0321.png,947619,955215,
322,277,,backmatter/index,source/pages/p_0322.png,955216,963068,
323,278,,backmatter/index,source/pages/p_0323.png,963069,969775,
324,279,,backmatter/index,source/pages/p_0324.png,969776,976964,
325,280,,backmatter/index,source/pages/p_0325.png,976965,983891,
326,281,,backmatter/index,source/pages/p_0326.png,983892,986963,
